epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0386,3.3679,5.07281,2.36473,0,0,0,0,3.18811,5.05662,2.65,1.334e-05,1.334e-05,1.334e-05
2,46.7089,2.9437,4.97117,2.16826,0,0,0,0,2.99185,4.99003,2.42971,3.25246e-05,3.25246e-05,3.25246e-05
3,67.9909,2.92406,4.87276,1.99428,0,0,0,0,2.89273,4.9476,2.27898,5.07187e-05,5.07187e-05,5.07187e-05
4,85.8456,2.74688,4.79805,1.88013,0,0,0,0,2.54931,4.92186,1.99809,6.79223e-05,6.79223e-05,6.79223e-05
5,103.808,2.47687,4.672,1.81148,0,0,0,0,2.41629,4.89668,1.90371,8.41354e-05,8.41354e-05,8.41354e-05
6,122.836,2.50957,4.6757,1.77936,0,0,0,0,2.26186,4.87231,1.73228,9.9358e-05,9.9358e-05,9.9358e-05
7,140.404,2.28844,4.49228,1.69934,0.00084,0.0037,5e-05,0,2.24388,4.82267,1.68115,0.00011359,0.00011359,0.00011359
8,157.082,2.19882,4.36149,1.56882,0.00182,0.01111,0.00034,6e-05,2.18546,4.77948,1.61493,0.000126832,0.000126832,0.000126832
9,174.015,2.14358,4.34713,1.6163,0.00439,0.03333,0.00164,0.00019,2.14818,4.75049,1.56919,0.000139083,0.000139083,0.000139083
10,192.073,2.04371,4.19807,1.44965,0.00381,0.03704,0.00362,0.0005,2.10305,4.71115,1.51221,0.000150343,0.000150343,0.000150343
11,210.165,2.03852,4.11373,1.45436,0.00212,0.02593,0.00313,0.00057,1.98446,4.67456,1.4302,0.000160614,0.000160614,0.000160614
12,227.502,1.91555,4.05826,1.40959,0.00131,0.01852,0.00062,0.00011,1.91682,4.62409,1.36079,0.000169893,0.000169893,0.000169893
13,244.968,1.89089,3.90762,1.38182,0.00328,0.07778,0.01094,0.00382,1.82729,4.56465,1.26827,0.000178182,0.000178182,0.000178182
14,263.955,1.98583,3.90436,1.36169,0.00538,0.15185,0.03561,0.01586,1.80727,4.52113,1.23417,0.000185481,0.000185481,0.000185481
15,281.855,1.8753,3.88553,1.31802,0.00538,0.15185,0.03561,0.01586,1.80727,4.52113,1.23417,0.000191789,0.000191789,0.000191789
16,300.445,1.87765,3.74296,1.32207,0.00683,0.17778,0.07131,0.02421,1.73359,4.46126,1.1734,0.000197107,0.000197107,0.000197107
17,318.319,1.80781,3.59125,1.25623,0.02611,0.24815,0.11018,0.04253,1.65678,4.37855,1.12463,0.000201434,0.000201434,0.000201434
18,337.437,1.94041,3.61502,1.32332,0.02611,0.24815,0.11018,0.04253,1.65678,4.37855,1.12463,0.000204771,0.000204771,0.000204771
19,356.016,1.81622,3.5329,1.33095,0.02499,0.28889,0.20745,0.09293,1.60315,4.28409,1.0961,0.000207117,0.000207117,0.000207117
