epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6797,3.39138,5.92093,2.94494,0,0,0,0,2.84901,5.58302,2.76218,0.000135708,0.000135708,0.000135708
2,48.6515,2.89072,5.78545,2.51628,0.00833,0.00041,6e-05,1e-05,2.40426,5.38944,2.26435,0.000127958,0.000127958,0.000127958
3,72.6019,2.61758,5.5933,2.16959,0.02404,0.00204,0.00065,0.00019,2.15831,5.15852,1.94706,0.000118916,0.000118916,0.000118916
4,96.8632,2.44936,5.39939,1.9848,0.05611,0.04003,0.01408,0.00315,1.98801,4.88436,1.76099,0.000109874,0.000109874,0.000109874
5,120.749,2.32773,5.19565,1.8302,0.03735,0.12255,0.03601,0.01026,1.87027,4.57107,1.64496,0.000100832,0.000100832,0.000100832
6,168.931,2.22543,5.29579,1.70045,0.03758,0.2406,0.05747,0.02222,1.90427,4.06822,1.55699,9.179e-05,9.179e-05,9.179e-05
7,192.634,2.04721,5.63868,1.57254,0.0386,0.25531,0.091,0.04094,1.81594,3.85344,1.48325,8.2748e-05,8.2748e-05,8.2748e-05
8,216.591,2.03979,4.86957,1.56355,0.04281,0.3268,0.14644,0.06562,1.7258,3.60994,1.40776,7.3706e-05,7.3706e-05,7.3706e-05
9,240.327,1.96239,4.6179,1.50154,0.78535,0.09434,0.19607,0.10323,1.66988,3.34191,1.35291,6.4664e-05,6.4664e-05,6.4664e-05
10,263.956,1.88605,4.80709,1.44152,0.86765,0.15359,0.21766,0.11595,1.60581,3.0962,1.30607,5.5622e-05,5.5622e-05,5.5622e-05
11,287.651,1.91844,4.03982,1.45432,0.8577,0.18772,0.22077,0.12497,1.55556,2.98761,1.27702,4.658e-05,4.658e-05,4.658e-05
12,311.458,1.86207,4.18055,1.40564,0.94432,0.15727,0.2456,0.14925,1.55416,2.8565,1.2796,3.7538e-05,3.7538e-05,3.7538e-05
13,335.172,1.79863,4.06616,1.37537,0.9594,0.14241,0.25204,0.1522,1.52484,2.90981,1.26947,2.8496e-05,2.8496e-05,2.8496e-05
14,358.943,1.76582,3.94592,1.35838,0.95354,0.15099,0.26134,0.15504,1.5217,2.7935,1.25411,1.9454e-05,1.9454e-05,1.9454e-05
15,382.69,1.74433,4.27119,1.34189,0.94674,0.14965,0.26009,0.15536,1.52045,2.74113,1.2524,1.0412e-05,1.0412e-05,1.0412e-05
