epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0886,3.4981,5.94788,3.01568,0,0,0,0,3.08823,5.58489,2.9471,0.00013572,0.00013572,0.00013572
2,49.2332,3.05083,5.80431,2.62539,0,0,0,0,2.57697,5.33207,2.3014,0.000127958,0.000127958,0.000127958
3,73.0587,2.70398,5.62235,2.22508,0.06839,0.01208,0.00807,0.0041,2.25261,5.1049,1.95971,0.000118916,0.000118916,0.000118916
4,97.3676,2.50781,5.37775,1.97199,0.03829,0.05083,0.01835,0.0055,2.13272,4.85792,1.76626,0.000109874,0.000109874,0.000109874
5,121.663,2.36963,5.15196,1.81966,0.04042,0.17264,0.04698,0.01445,2.02162,4.40518,1.60171,0.000100832,0.000100832,0.000100832
6,165.93,2.26981,5.74095,1.67829,0.03631,0.2275,0.06311,0.02233,2.09795,4.01009,1.57739,9.179e-05,9.179e-05,9.179e-05
7,190.07,2.1818,5.19964,1.62768,0.03962,0.25486,0.10518,0.04325,1.99995,3.73567,1.53134,8.2748e-05,8.2748e-05,8.2748e-05
8,214.093,2.10201,4.62646,1.57746,0.03963,0.33431,0.20929,0.10227,1.80741,3.53329,1.41827,7.3706e-05,7.3706e-05,7.3706e-05
9,238.013,2.01831,4.63697,1.51299,0.78602,0.21862,0.23341,0.12148,1.73929,3.24346,1.35773,6.4664e-05,6.4664e-05,6.4664e-05
10,261.972,1.96339,4.1894,1.46271,0.92813,0.20763,0.24976,0.14284,1.66764,3.15522,1.31737,5.5622e-05,5.5622e-05,5.5622e-05
11,285.81,1.90719,4.13799,1.42393,0.91983,0.19207,0.24846,0.14361,1.6262,3.06143,1.28827,4.658e-05,4.658e-05,4.658e-05
12,310.185,1.81507,3.78954,1.39603,0.90911,0.19515,0.26293,0.15693,1.55467,2.94068,1.2518,3.7538e-05,3.7538e-05,3.7538e-05
13,334.314,1.80925,3.70007,1.37116,0.89951,0.20151,0.27222,0.16994,1.52938,2.88245,1.24476,2.8496e-05,2.8496e-05,2.8496e-05
14,358.171,1.74705,3.95645,1.33063,0.76471,0.22274,0.28214,0.18697,1.52182,2.82924,1.23551,1.9454e-05,1.9454e-05,1.9454e-05
15,382.089,1.78725,3.68754,1.34042,0.93156,0.19819,0.28169,0.18269,1.5135,2.80218,1.2248,1.0412e-05,1.0412e-05,1.0412e-05
