epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.7558,3.50103,5.91189,2.98684,0,0,0,0,3.03752,5.90626,2.94976,3.562e-05,3.562e-05,3.562e-05
2,184.037,3.01918,5.77306,2.59068,0,0,0,0,2.53932,5.78228,2.4016,6.78177e-05,6.78177e-05,6.78177e-05
3,271.283,2.69648,5.58811,2.2222,0,0,0,0,2.35036,5.63364,2.03374,9.51328e-05,9.51328e-05,9.51328e-05
4,359.461,2.4418,5.35029,1.9379,0.04651,0.01333,0.00581,0.00171,2.05022,5.38636,1.7428,0.000109874,0.000109874,0.000109874
5,444.632,2.28613,5.0822,1.75428,0.04335,0.09375,0.03883,0.0135,1.92993,4.99504,1.60171,0.000100832,0.000100832,0.000100832
6,540.388,2.18188,4.92566,1.67329,0.03971,0.2325,0.07854,0.03084,2.01186,4.39092,1.55639,9.179e-05,9.179e-05,9.179e-05
7,638.874,2.06658,4.62739,1.60485,0.03905,0.31917,0.12847,0.05336,1.9188,3.87345,1.46306,8.2748e-05,8.2748e-05,8.2748e-05
8,738.207,2.03594,4.32686,1.52883,0.90078,0.09344,0.20202,0.08909,1.89498,3.70314,1.39966,7.3706e-05,7.3706e-05,7.3706e-05
9,845.033,1.98209,4.04168,1.47231,0.90038,0.20282,0.26189,0.14229,1.76858,3.48766,1.32968,6.4664e-05,6.4664e-05,6.4664e-05
10,949.897,1.91953,3.82743,1.43124,0.94365,0.1934,0.28262,0.15337,1.70723,3.33285,1.30559,5.5622e-05,5.5622e-05,5.5622e-05
11,1054.38,1.81458,3.61774,1.37389,0.94945,0.20438,0.29515,0.18103,1.63905,3.14863,1.28068,4.658e-05,4.658e-05,4.658e-05
12,1156.87,1.77182,3.3955,1.34168,0.93946,0.22919,0.31328,0.19782,1.5839,2.92977,1.2384,3.7538e-05,3.7538e-05,3.7538e-05
13,1251.16,1.7306,3.29726,1.32279,0.93226,0.24064,0.31753,0.19734,1.56113,2.84203,1.22348,2.8496e-05,2.8496e-05,2.8496e-05
14,1344.33,1.73145,3.20614,1.30823,0.92134,0.26123,0.31857,0.20461,1.53408,2.79508,1.21537,1.9454e-05,1.9454e-05,1.9454e-05
15,1441.91,1.69008,3.11975,1.27826,0.91781,0.25525,0.32208,0.20738,1.5055,2.78247,1.19879,1.0412e-05,1.0412e-05,1.0412e-05
